name,set,rarity,id,tribe,courage,power,wisdom,speed,energy,mugic,elements,types,ability,flavor,brainwashed,unique,loyal,legendary,artist,gender
Dractyl,DOP,Common,8,OverWorld,25,70,50,75,40,0,,Scout,"Range
Swift 1",The high-flying OverWorld messenger and spy.,,,,,,Male
Drakness,DOP,Super Rare,33,UnderWorld,65,45,85,50,40,0,Fire,Ethereal,Mugic played by Creatures you control that deal damage deal an additional 5 damage.,Trust not your own shadow - for Drakness dwells there before he strikes,,1,,,,"Ambiguous, Male"
Ekuud,DOP,Rare,57,Danian,40,60,30,40,45,1,Earth,Noble,Hive: Ekuud has an additional 5 Energy for each Mandiblor you control and each Infected Creature in play.,"“Fear the enemy, yes. But fear me more!” – Ekuud",,,,,,Male
Formicidor,DOP,Common,58,Danian,60,40,35,40,40,1,Earth,Squadleader Scout,Hive: Formicidor has an additional 10 Courage for each Mandiblor you control and each Infected Creature in play.,"Because he dares to roam the UnderWorld, Formicidor knows secrets even some UnderWorlders do not.",,,,,,Male
Frafdo,DOP,Uncommon,9,OverWorld,85,80,45,75,35,0,,Guardian,Support: Courage 5,This winged warrior makes his nest at Castle Bodhran.,,,,,,Male
Galin,DOP,Uncommon,59,Danian,65,70,40,65,50,0,,Mandablor,Hive: Galin has an additional 10 Speed for each Mandiblor you control and each Infected Creature in play.,"Galin believes he can speak with his Danian ancestors, who have yet to tell him anything of much use.",,,,,,Male
Gespedan,DOP,Common,10,OverWorld,45,50,35,100,35,1,,Scout,"Support: Speed 5
Swift 1","No matter how swiftly Gespedan sprints, he can’t outrun his one, tragic mistake.",,,,,,Male
Ghuul,DOP,Common,34,UnderWorld,50,85,15,35,35,0,Fire,Taskmaster,"Range
Swift 1","“How many more until you’re satisfied, Mommark? Every mistake grows their number!” - Maxxor",,,,,,Male
Grook,DOP,Uncommon,35,UnderWorld,30,110,20,60,45,0,Fire,Taskmaster,Intimidate: Power 10,“Mugic? Bah! What can a Mugician do that I can’t do with my fists?” – Grook,,,,,,Male
H'earring,DOP,Uncommon,36,UnderWorld,70,30,55,45,50,1,,Scout,{{MC}}: Look at the top three cards of target player's Location Deck and put them back in any order.,"Perhaps the most effective of the UnderWorld spies, H’earring mainly puts his supersonic skills to work for himself.",,,,,,Male
Heptadd,DOP,Ultra Rare,11,OverWorld,50,50,50,50,50,1,"Fire, Air, Earth, Water",Guardian Muge,Heptadd may play Mugic of any tribe.,Some in Perim believe that Heptadd knows where the Cothica is.,,1,1,,,Male
Hota,DOP,Uncommon,60,Danian,40,55,35,30,30,2,Fire,Mandablor Muge,,“Hota is the least ‘Danian’ Danian I know.” – Ibiaan,,,,,,Male
Ibiaan,DOP,Uncommon,61,Danian,45,60,65,30,50,0,Earth,Mandablor,Hive: Ibiaan has an additional 5 Wisdom for each Mandiblor you control and each Infected Creature in play,"“If Ibiaan’s so smart, why is he still a Mandiblor?” – Hota",,,,,,Male
Intress,DOP,Super Rare,12,OverWorld,40,35,40,55,40,1,Water,Hero,Water 5,The secret behind Maxxor’s bond with Intress is also the wedge that keeps them apart.,,,,,,Female
Junda,DOP,Common,62,Danian,35,55,50,40,50,1,,Squadleader,{{MC}}: Activate Hive.,"Every Mandiblor aspires to be a Squadleader. So, even while Junda faces the enemy, he’s also watching his back.",,,,,,Male
Kannen,DOP,Rare,63,Danian,25,20,70,25,40,1,,Battlemaster,"{{MC}}: Activate Hive
Sacrifice Kannen: Return a Mandiblor card from your discard pile to any open space.",“My life is my Tribe!” – Kannen,,,,,,Male
Kebna,DOP,Uncommon,64,Danian,65,30,55,35,45,1,Fire,Squadleader,Hive: Kebna has an additional 5 Energy for each Mandiblor you control  and each Infected Creature in play.,There’s a fine line between bravery and insanity. Kebna crosses that line daily.,,,,,,Male
Kerric,DOP,Uncommon,37,UnderWorld,45,30,45,65,50,0,Air,Scout,"Range
Swift 1",Provides crucial aerial surveillance of the Cordac Plungepool.,,,,,,Male
Khybon,DOP,Uncommon,38,UnderWorld,75,25,85,20,40,1,,Taskmaster,"Intimidate: Courage 10
Intimidate: Wisdom 10","“Yeah, I could build that.” – Khybon",,,,,,Male
Klasp,DOP,Rare,39,UnderWorld,65,95,30,65,65,0,Fire,Taskmaster,"Recklessness 5
Sacrifice Klasp: Deal 10 damage to target Creature.","If you find yourself seeing eye-to-eye with Klasp, it means you previously had not.",,,,,,Male
Krekk,DOP,Common,40,UnderWorld,10,85,20,60,40,0,Fire,Commander Scout,"Intimidate: Power 10
Range ",“Fear is a great motivator. Just look at Krekk.” – Lord Van Bloot,,,,,,Male
Kughar,DOP,Common,41,UnderWorld,65,85,25,45,50,0,Fire,Taskmaster,Intimidate: Power 10,"On bad days, Kughar is angry, furious and enraged. On good days, he’s just angry and furious.",,,,,,Male
Laarina,DOP,Uncommon,13,OverWorld,35,20,50,30,30,2,"Earth, Water",Scout,,“I don’t steal; I liberate lost valuables. And the only problem I have with what I do is the possibility of getting caught.” —Laarina,,,,,,Female
Lhad,DOP,Common,65,Danian,65,65,70,25,40,0,Fire,Mandablor,,"“Unless we become one, we will become none.” – Mandiblor war cry",,,,,,Male
Lord Van Bloot,DOP,Ultra Rare,42,UnderWorld,75,115,50,95,65,2,Earth,Conquerer Muge,"While a Creature engaged with Lord Van Bloot has less than 65 Courage, that Creature has 10 less Energy.","“I may serve Chaor, but in time, Chaor will serve me!” – Lord Van Bloot",,1,1,,,Male
Lore,DOP,Super Rare,66,Danian,30,35,70,30,25,3,,Muge,{{MC}}: Deal 10 damage to target Creature and heal 10 damage to Lore.,"As a spirit leader of the Danians, many believe this shaman may one day lead his Tribe to the Cothica.",,1,,,,Male
Maglax,DOP,Uncommon,14,OverWorld,70,60,25,30,40,0,Earth,Guardian,Earth 5,Mommark’s monstrous creation has one thing going for him: a magnetic personality!,,,,,,Male
Magmon,DOP,Rare,43,UnderWorld,75,60,20,35,55,1,Fire,Elementalist,"Fire 5
Recklessness 5",Magmon’s demeanor will melt your heart ... after burning through the rest of you.,,,,,,"Ambiguous, Male"
Mallash,DOP,Rare,67,Danian,30,25,45,35,30,2,Earth,Battlemaster,Hive: Mallash has an additional 5 Energy for each Mandiblor you control and each Infected Creature in play.,"“Irresponsible? It’s self-preservation.” – Mallash, rebuffing critics of his “Attack-first, make-sure-it’s-an-enemy-later” policy",,,,,,Male
Malvadine,DOP,Uncommon,75,Mipedian,50,75,40,55,50,0,,Elite Warrior,"Invisibility: Strike 10
Invisibility: Surprise",,,,,,,Male
Marquis Darini,DOP,Rare,76,Mipedian,45,40,65,40,40,0,"Fire, Air",Royal,Creatures you control with Invisibility deal an additional 5 damage with their first attack each combat.,Proponent of peace but staunch defender of Mipedian sovereignty.,,1,,,,Male
Maxxor,DOP,Ultra Rare,15,OverWorld,100,65,80,50,60,2,"Fire, Earth",Hero,{{MC}}: Heal 10 damage to target Creature.,"No OverWorlder has ever seen Maxxor’s face in battle because he is always in the frontline, leading the charge!",,1,1,,,Male
Miklon,DOP,Common,44,UnderWorld,20,75,30,60,50,1,,Taskmaster,,"After the “accident,” Khybon crafted the gyropod that keeps this prison guard on patrol.",,,,,,Male
Najarin,DOP,Rare,16,OverWorld,60,30,90,35,30,2,,Strategist Muge,{{MC}}{{MC}}: Return target Mugic Card from your discard pile to your hand.,“The search for the Cothica is the means to an end. But finding it may mean the end.” – Najarin,,1,,,,Male
Nauthilax,DOP,Uncommon,45,UnderWorld,70,60,40,55,60,1,Water,Elementalist,Recklessness 5,"Few UnderWorlders can swim, which makes Nauthilax crucial to Chaor’s maritime intelligence gathering.",,,,,,Male
Odu-Bathax,DOP,Rare,68,Danian,55,60,50,40,35,1,Earth,Warrior,Odu‐Bathax has an additional 5 Energy for each Mandiblor you control and each Infected Creature in play.,Odu-Bathax is the defender of the North Gate at Mount Pillar.,,,,,,Male
Owis,DOP,Super Rare,17,OverWorld,60,25,55,30,45,1,Water,Guardian,"{{MC}}: Heal 5 damage to target Creature. 
{{MC}}: Heal 10 damage to Owis.",UnderWorlders have made countless attempts to breach Cordac Falls. Owis has repelled all but one... the one that haunts him.,,,,,,Male
Prince Mudeenu,DOP,Super Rare,77,Mipedian,55,35,70,30,45,1,,Royal,Invisibility: Strike 20,"Obsessed with controlling the Cothica, he will risk the freedom of the Mipedians to find it.",,1,,,,Male
Psimion,DOP,Common,18,OverWorld,45,30,55,40,45,1,Earth,Strategist,Support: Wisdom 5,“Simple” Psimion is not... though his seeming to be so has certain advantages.,,,,,,Male
Pyrithion,DOP,Rare,46,UnderWorld,25,80,40,65,50,0,Fire,Commander,"Intimidate: Courage 10
Intimidate: Wisdom 10",“Telling the truth only goes so far. But lying? That gets you where you’re going.” – Pyrithion,,,,,,Male
Qwun,DOP,Common,78,Mipedian,55,40,55,90,35,0,Air,Scout,Invisibility: Surprise,"With Qwun’s blinding Speed, using his Invisibility is rarely necessary.",,,,,,Male
Rarran,DOP,Uncommon,47,UnderWorld,65,60,30,60,50,0,Fire,Scout,Range,"A prison guard with Dardemus and Miklon, Rarran has not revealed his secret to them: he is one of Mommark’s creations.",,,,,,Male
Rellim,DOP,Uncommon,19,OverWorld,50,65,60,40,50,1,Water,Caretaker,Support: Courage 5,“The Mill is not my only interest. I also enjoy beating on UnderWorlders.” – Rellim,,,,,,Male
Rothar,DOP,Rare,48,UnderWorld,75,90,25,50,70,0,Earth,Commander,"Intimidate: Power 10
Recklessness 5",“I don’t run. I don’t flinch. But I don’t care either.” – Rothar,,,,,,Male
Shimmark,DOP,Uncommon,79,Mipedian,60,50,30,70,45,1,,Stalker,Invisibility: Strike 10 ,Shimmark is like a footprint in the sand: quickly gone with the wind.,,,,,,Male
Siado,DOP,Common,80,Mipedian,60,45,60,55,30,1,Air,Stalker,Invisibility: Surprise,"Scout, sentry, spy: Siado is a triple threat to every Mipedian enemy.",,,,,,Male
Skartalas,DOP,Common,69,Danian,55,45,40,55,40,2,,Controller,Sacrifice Skartalas: Activate Hive.,It’s rumored that Skartalas has had secret dealings with Van Bloot and that their bitter feud is simply an act to hide an alliance.,,,,,,Male
Skithia,DOP,Uncommon,49,UnderWorld,65,25,55,40,35,1,Fire,Commander,Fire 5,"Van Bloot’s most trusted aide, Skithia is also Takinom’s avowed enemy.",,,,,,Female
Skreeth,DOP,Rare,50,UnderWorld,80,65,60,20,55,0,,Warrior,"Range
Swift 1",Skreeth’s boldness may be his undoing some day. Spineless he’s not!,,,,,,Male
Slurhk,DOP,Common,20,OverWorld,45,35,35,40,50,0,"Earth, Water",Guardian,,"As poison spreads throughout the Mipedian’s body, Slurhk sneers. He will enjoy reclaiming his desert homeland – one lizard at a time.",,,,,,Male
Sobtjek,DOP,Uncommon,81,Mipedian,40,25,65,40,30,1,Air,Muge,"{{MC}}, Sacrifice Sobtjek: Deal 25 damage to target Creature.",Few Mipedians can outlast Sobtjek in a parfkew eating contest.,,,,,,Male
Solvis,DOP,Rare,51,UnderWorld,45,60,65,35,40,2,,Taskmaster,{{MC}}{{MC}}: Deal 10 damage to target Creature.,The proof of the theory of natural selection or devolution defined?,,,,,,Male
Staluk,DOP,Rare,21,OverWorld,35,45,25,40,50,0,Earth,Warrior,"Earth 5
Swift 1",This Mommark creation is slow to start... and difficult to stop.,,,,,,Male
Takinom,DOP,Super Rare,52,UnderWorld,60,65,20,90,40,1,,Commander,"Sacrifice an UnderWorld Creature: Heal 25 damage to Takinom
Swift 1",Takinom unearthed a shocking secret bond with her archenemy Intress that she’s wisely kept from Chaor…,,,,,,Female
Tangath Toborn,DOP,Super Rare,22,OverWorld,40,45,40,30,30,1,"Fire, Earth",Strategist Warrior,{{MC}}: Heal 10 damage to Tangath Toborn.,"“I battle because I must. But in my heart, I know that war is not the answer.” – Tangath Toborn",,,,,,Male
Tartarek,DOP,Rare,23,OverWorld,90,45,90,25,35,1,,Hero,"{{MC}}: Target Creature gains ""Swift 1"".","Brave enough to take on any battle, wise enough to avoid most.",,,,,,Male
Tiaane,DOP,Rare,82,Mipedian,65,40,50,20,40,2,,Muge,"{{MC}}, Sacrifice Tiaane: Deal 25 damage to target Creature.","Tiaane has studied Mugic with Najarin himself, earning him respect throughout the OverWorld.",,,,,,Male
Toxis,DOP,Uncommon,53,UnderWorld,45,70,40,50,50,2,Fire,Elementalist,Recklessness 5,"A resident of the Pits outside the UnderWorld prison, escapees beg to return to their cells after encountering Toxis.",,,,,,Male
Ubliqun,DOP,Rare,83,Mipedian,35,45,60,60,35,2,,Stalker,{{MC}}: Ubliqun can move to any space on the board as if it were adjacent.,"When this warrior takes to the air, look out! But looking may do you no good, as you might see nothing …until it’s too late!",,,,,,Male
Ulmar,DOP,Super Rare,54,UnderWorld,40,20,70,35,25,2,Fire,Conquerer,{{MC}}: Deal 10 damage to target Creature.,Takinom thinks that Chaor’s “go-to” guy for Battlegear has a screw loose himself.,,,,,,Male
Uro,DOP,Common,84,Mipedian,60,60,40,60,45,0,,Elementalist,"Invisibility: Strike 5. 
Invisibility: Surprise",,,,,,,Male
Valanii Levaan,DOP,Uncommon,70,Danian,50,50,15,25,50,1,Earth,Noble,Hive: Valanii Levaan has an additional 10 Power for each Mandiblor you control  and each Infected Creature in play. ,"When his Squadleaders don’t execute orders, Valanii Levaan orders executions.",,,,,,Male
Velreth,DOP,Uncommon,24,OverWorld,55,80,40,25,45,1,,Warrior,Swift 1,Velreth is easy to find: just follow the path of destruction.,,,,,,Male
Vidav,DOP,Common,25,OverWorld,45,30,50,35,35,2,,Strategist,{{MC}}: Heal 15 damage to target Creature.,he treaty of Vidav could have brought peace to the warring tribes of Perim ... if only its leaders had been willing to accept it.,,,,,,Male
Vinta,DOP,Uncommon,85,Mipedian,40,60,35,40,35,1,Air,Stalker,Invisibility: Strike 10,Many trespassers have felt the breath of Vinta as they breached the Mipedim Oasis. But they have felt it too late.,,,,,,Male
Wamma,DOP,Common,71,Danian,40,55,30,25,50,0,Fire,Mandablor,Hive: Wamma has an additional 5 Energy for each Mandiblor you control and each Infected Creature in play.,"Most Mandiblors are diligent, dedicated warriors. Wamma is not like most Mandiblors.",,,,,,Male
Xaerv,DOP,Uncommon,26,OverWorld,40,25,45,60,30,2,Air,Elementalist,Air 5,“You got Xaerved.” - Xaerv,,,,,,Male
Xield,DOP,Super Rare,55,UnderWorld,95,40,35,15,20,0,,Elementalist,Deal 10 damage to Xield: Target Creature gains 10 Energy. This ability can only be used once per turn.,"When the arrows shattered against his back, Xield knew he had found his calling.",,,,,,Male
Yokkis,DOP,Super Rare,27,OverWorld,20,20,20,20,50,2,Earth,Hero,Support: All Disciplines 5,"He may look funny from a distance, but get too close and the joke’s on you.",,,,,,Male
Zalic,DOP,Rare,28,OverWorld,45,55,40,40,45,2,,Guardian,{{MC}}: Heal 15 damage to Zalic.,"This confidant of Intress never sleeps, so Maxxor has appointed him guardian of the Passage between the OverWorld and the UnderWorld.",,,,,,Male
Zaur,DOP,Common,56,UnderWorld,65,75,35,25,50,1,,Warrior,,"""'Failure' is such a harsh word. Let's just say my experiment had unintended consequences."" —Mommark",,,,,,Male
Zhade,DOP,Common,86,Mipedian,65,60,40,60,30,1,Air,Stalker,Invisibility: Surprise,Some lead. Some follow. Zhade is content just to hang around.,,,,,,Male
Aggroar,ZOTH,Common,1,OverWorld,55,35,65,45,40,0,Earth,Strategist,"Strategists you control have ""Defender.""","Flickers like a frozen flame, strikes like a burning shard.",,,,,,Male
Arkanin,ZOTH,Uncommon,31,Mipedian,55,35,70,55,40,2,,Muge,"{{MC}}: Deal 5 damage to target Creature.
{{MC}}: Heal 10 damage to target Creature.
Arkanin can spend Mugic counters from other Muges you control to activate its abilities.","Some Muges avoid fighting, but Arkanin jumps into the heat of battle.",,,,,,Male
Balaan,ZOTH,Common,16,Danian,65,35,50,25,55,1,,Squadleader,"Sacrifice Balaan: Activate Hive.
When Balaan is placed in your discard pile, Infect target Uninfected Creature.","As his enemy sprouted antennae, Balaan knew his queen would be proud.",,,,,,Male
Bierk,ZOTH,Rare,17,Danian,65,50,50,40,40,0,Water,Squadleader,"At the beginning of each turn, if your opponent controls an UnderWorld Creature, Activate Hive.
Hive: Fireproof 10",Bierk was once seen cannonballing into the Lava Pond.,,,,,,Male
Daj Huun,ZOTH,Common,18,Danian,70,50,35,70,45,0,,Mandiblor,"Swift 2
Hive: Daj Huun cannot move and has an additional 10 Energy.","""Look up 
Look around 
Never forget 
To look down"" 
—UnderWorld nursery rhyme",,,,,,Male
Dasalin,ZOTH,Uncommon,19,Danian,35,35,65,25,40,1,Water,Mandiblor,"Water 5
Hive: Dasalin does not have ""Water 5"" and has ""{{MC}}: Heal 10 damage to target Mandiblor"" instead.",Quench your spirit as well as your thirst.,,,,,,Male
Dibanni,ZOTH,Rare,32,Mipedian,55,35,70,55,30,2,,Muge,{{MC}}: Target adjacent Creature gains a Mugic counter.,"""I can only open the door to understanding the true mysteries of Mugic. I can force no one to walk through it."" 
—Dibanni",,1,,,,Male
Dubin,ZOTH,Common,20,Danian,50,35,50,25,30,2,,Controller,"{{MC}}: Infect target Uninfected Creature.
While an opponent controls an Infected Creature, Dubin has an additional 5 Energy.",How does the parasite take control? Who knows... who cares?!,,,,,,Male
Faash,ZOTH,Uncommon,21,Danian,50,65,35,55,50,2,Fire,Elementalist,"Deactivate Hive: Faash gains ""Fire 5."" Hive cannot be Activated again this turn. (Hive must be active to Deactivate it.)",,,,,,,Male
Garv,ZOTH,Rare,2,OverWorld,50,25,75,30,55,2,,Caretaker,{{MC}}: Flip target Battlegear face-up or face-down.,Speaker of a thousand languages - from bird to bacteria - the bulbous monk wanders the land and watches life flourish with every step.,,1,,,,Male
Geltod,ZOTH,Common,6,UnderWorld,45,70,45,40,45,1,,Muge,Discard an UnderWorld Mugic Card: Deal 5 damage to target Creature.,"Ah-choo! Oh, gross! I just 'geltodded' into my hands.",,,,,,"Ambiguous, Male"
Hammerdoom Chantcaller,ZOTH,Ultra Rare,7,UnderWorld,50,55,40,55,65,1,Fire,Warrior,"Attacks played by Hammerdoom Chantcaller deal an additional 5 damage to Danian Creatures. If Hive is active, attacks played by Hammerdoom Chantcaller deal an additional 5 damage to Underworld Creatures instead.",,,1,,,,Male
Hune Marquard,ZOTH,Uncommon,3,OverWorld,40,35,65,50,30,2,,Muge,"When an opposing Creature plays a Danian Mugic, Hune Marquard gains a Mugic counter.","As the foremost authority on Danian Mugic, he works to unlock their mysteries... and how to exploit them.",,,,,,Male
Illazar,ZOTH,Super Rare,8,UnderWorld,45,70,60,55,40,2,Air,Muge,"When a Creature you control leaves play, if that Creature had one or more Mugic counters on it, remove a Mugic counter from target Creature.",No one believed Bodal when he said he was struck by a streaking rainbow.,,1,,,,Male
"Illexia, The Danian Queen",ZOTH,Ultra Rare,22,Danian,50,65,65,25,55,2,Earth,Noble,"Your adjacent Creatures have ""Defender.""
When a Mandiblor or an Infected Creature is put into a discard pile, Illexia gains a Mugic counter.
{{MC}}: Activate Hive.
Hive: Mugic counters on Illexia count as Mandiblors you control when counting Mandiblors.",,,1,1,,,Female
Jaal,ZOTH,Uncommon,23,Danian,45,35,65,30,50,0,Earth,Warrior,"When Jaal deals Earth damage to an Uninfected Creature, Infect that Creature.
While engaged with an Infected Creature, Jaal has ""Earth 5.""",,,,,,,Male
Kamangareth,ZOTH,Uncommon,9,UnderWorld,60,70,30,55,55,0,Earth,Commander,Deal 15 damage to Kamangareth while engaged: Deactivate Hive.,"""Stalk, isolate, destroy. Do these three things and the Danians are powerless!"" —Kamangareth

",,,,,,Female
Kelvedran,ZOTH,Common,24,Danian,35,50,35,55,40,0,Air,Mandiblor,"Fireproof 10
Earthproof 10",,,,,,,Male
Khavakk,ZOTH,Rare,25,Danian,35,50,35,25,30,2,Water,Muge,"{{MC}}: Deal 5 damage to target Creature.
{{MC}}, Deactivate Hive: Deal 15 damage to target Creature.","""Power, strength and stamina? Overrated."" 
—Khavakk",,,,,,Male
Khritlaan,ZOTH,Super Rare,26,Danian,65,50,65,25,40,2,Water,Noble,"While Khritlaan is in your discard pile, Mandiblor cards in your discard pile count as Mandiblors you control when counting Mandiblors.","""Even from the grave shall you serve Illexia."" 
—Khritlaan",,,,,,Male
Kolmo,ZOTH,Super Rare,33,Mipedian,60,55,50,40,65,0,Air,Elite,"Invisibility: Disarm
While engaged with a Danian Noble, Kolmo has ""Invisibility: Strike 20.""
Range
Swift 1",,,1,,,,Male
Lomma,ZOTH,Super Rare,4,OverWorld,55,50,60,35,40,2,Water,Guardian,"Defender
Water 5
The first attack against Lomma each combat deals 10 less damage.","After losing her family as a child, Lomma vowed that none would terrorize her tribe again.",,,,,,Female
Mahrrant,ZOTH,Super Rare,27,Danian,35,60,65,25,40,1,,Mandiblor Muge,"When an Infected Creature is put into a discard pile, Mahrrant gains a Mugic counter.
{{MC}}: Activate Hive.",Never let anything go to waste - including your fallen foes.,,,,,,Male
Munnari,ZOTH,Common,34,Mipedian,40,50,50,70,35,1,Air,Stalker,Invisibility: Disarm,"As Tangath Toborn reached for his blade, his heart sank when he realized he only had his sheath at his side.",,,,,,Male
Narfall,ZOTH,Uncommon,10,UnderWorld,45,70,45,40,50,0,Fire,Elementalist,"When Narfall becomes engaged, deal 5 damage to opposing engaged Creature for each Elemental Type that Creature has.","The breeze suddenly died, as if all hope left the world.",,,,,,Male
Ornathor,ZOTH,Common,11,UnderWorld,75,55,45,55,45,0,,Taskmaster,Waterproof 10,,,,,,,Male
"Ramarhvir, The Danian Hivebringer",ZOTH,Ultra Rare,28,Danian,35,65,50,25,50,1,Air,Noble Mandiblor Muge,"When Hive is activated, you may move a Mugic counter from a Danian you control to Ramarhvir, the Danian Hivebringer.
{{MC}}{{MC}}: Return target Mandiblor card in your discard pile to play in an open space.",,,,,,,Male
"Raznus, Ambassador to the Danians",ZOTH,Super Rare,5,OverWorld,60,20,70,40,40,0,"Earth, Water",Ambassador,"Danian Creatures you control may play OverWorld Mugic.
Fireproof 10",Raznus yearned to forge an alliance. The Danians had other ideas.,,1,,,,Male
Ribbian,ZOTH,Super Rare,35,Mipedian,45,50,40,45,40,1,Air,Scout,"Invisibility: Disarm
Air 5
When a Creature deals damage to itself, that damage is increased by 5.",Ribbian quickly learned that it's much easier to give orders than to take them.,,,,,,Male
Slufurah,ZOTH,Rare,12,UnderWorld,45,65,65,20,40,1,Fire,Muge,"Muges have ""Sacrifice this Creature: Deal 10 damage to target Creature.""

","""You've run out of Mugicians? Do not fear. I know how you can still be useful."" 
—Slufurah",,,,,,Male
Strikto,ZOTH,Rare,13,UnderWorld,50,45,75,40,40,1,Fire,Warrior,"When Strikto gains a Mugic counter, it loses 10 Energy.
When a Creature deals damage to Strikto, that Creature loses 5 Energy.",,,,,,,Male
Swassa,ZOTH,Uncommon,14,UnderWorld,45,65,45,55,50,0,Fire,Warrior,"Deal 10 damage to a Creature you control: That Creature gains ""Swift 2"". This ability can only be used once per turn.","Rule #31: Never disobey a leader who wields four weapons at once.",,,,,,Female
Tassanil,ZOTH,Rare,29,Danian,60,45,55,50,40,0,Water,Noble Elementalist,"Water 5 
Hive: Tassanil has an additional 5 Energy for each Elemental Type opposing Creatures have.
Tassanil counts as a Mandiblor.",,,1,,,,Male
Ultadur,ZOTH,Super Rare,15,UnderWorld,40,85,30,75,55,1,,Commander,"Commanders you control have Fire and ""Recklessness 5.""
Ultadur may not gain Mugic counters","And in an instant, the village was gone, the land was scorched and the fields would never flower again.",,,,,,Male
Yondaf,ZOTH,Rare,30,Danian,50,35,65,20,30,0,"Fire, Earth",Controller,"When an opposing Uninfected Creature is targeted by a Mugic you control, Infect that Creature.","Forget your Tribe, forget your friends, forget yourself. You are one of us now!",,,,,,Male
Arbeid,SS,Uncommon,1,OverWorld,45,30,50,35,35,2,Water,Guardian,{{MC}}: Target attack deals 5 damage. This ability can only be used once per turn.,"""Keep attacking. I'll let you know when it stops tickling."" 
—Arbeid",,1,1,,,Male
Atrapol,SS,Common,11,UnderWorld,65,55,25,15,45,0,Earth,Warrior,"When Atrapol wins a Power Challenge on an attack it plays, destroy target Battlegear equipped to the opposing engaged Creature.","Like most UnderWorlders, Atrapol fights best when he's already winning.",,,,,,Male
"Blazvatan, the Epic Warbeast",SS,Ultra Rare,21,Mipedian,150,75,50,150,70,0,"Air, Earth",Warbeast,"Air 5
Earth 5
Recklessness 25",Conjuring is worthless without control.,,1,1,,,Ambiguous
Bylkian,SS,Rare,22,Mipedian,50,15,50,30,35,2,,Royal Conjuror,"Reduce Recklessness damage dealt to Warbeasts you control by 10.
{{MC}}: Reduce Recklessness damage dealt to Warbeasts you control by an additional 10.",,,,,,,Male
Clodor,SS,Common,2,OverWorld,40,55,95,35,50,0,,Warrior,"When Clodor wins a Wisdom Challenge on an attack it plays, it gains a Mugic counter.","Without the harness, Clodor's unstable spark would have exploded and destroyed Perim long ago.",,,,,,"Ambiguous, Male"
