name,set,rarity,id,bp,base,fire,air,earth,water,ability,Flavor Text,Unique,Artist
Sunder Ground,ZOTH,Uncommon,54,0,0,,,10,,Earth: Your engaged Creature loses Earth.,,,"Khary Randolph, Etienne St.Laurent, Edwin Nebres"
Terraport,ZOTH,Rare,55,3,5,,,5,,Earth: Your engaged Creature loses Earth. Look at the top two cards of your Location Deck and choose one. It becomes the active Location.,,,Steve Ellis
Apoc-eclipse,SS,Ultra Rare,36,3,0,5,5,5,5,"Fire, Air, Earth, Water: Flip the opposing engaged Creature's Battlegear face‐down, draw an Attack Card, discard an Attack Card, deal 5 damage and gain 5 Energy.",,1,Imaginary Friends Studios
Arborsmash,SS,Common,37,1,5,,,,,Stat Check Courage 50: Your engaged Creature gains Earth.,,,Imaginary Friends Studios
Blaze Barrage,SS,Super Rare,38,1,0,0,5,,5,"Fire, Air: Draw an Attack Card, then discard an Attack Card.",,,Imaginary Friends Studios
Blind Fury,SS,Uncommon,39,1,0,,10,,,"If your engaged Creature has Recklessness, deal 5 damage.",,,Emilio Lopez
Cyclone Slam,SS,Super Rare,40,3,0,,5,5,,"If your engaged Creature is a Warbeast, deal 20 damage.",,,Imaginary Friends Studios
Dexterous Storm,SS,Common,41,1,5,,,,,Stat Check Speed 50: Your engaged Creature gains Air.,,,Imaginary Friends Studios
Elemental Oxidation,SS,Super Rare,42,1,,5,,0,5,"Fire, Earth: Flip all Battlegear equipped to the opposing engaged Creature face-down.",,,Imaginary Friends Studios
Enlightened Tenacity,SS,Common,43,2,0,,,5,,"Stat Check Courage 30: Deal 5 damage.
Stat Check Courage 50: Deal 5 damage.
Stat Check Courage 70: Deal 5 damage.",,,Imaginary Friends Studios
Fear Fight,SS,Uncommon,44,2,5,,,5,,Stat Fail Courage 50: Deal 10 damage.,,,Imaginary Friends Studios
Force Strike,SS,Common,45,2,0,5,,,,"Stat Check Power 30: Deal 5 damage.
Stat Check Power 50: Deal 5 damage.
Stat Check Power 70: Deal 5 damage.",,,Imaginary Friends Studios
Hampering Winds,SS,Uncommon,46,2,5,,5,,,Stat Fail Speed 50: Deal 10 damage.,,,Imaginary Friends Studios
Harnessed Rage,SS,Rare,47,3,5,,,,,"If your engaged Creature has Recklessness, deal damage equal to its Recklessness value.",,,Emilio Lopez
Heptagon Hail,SS,Ultra Rare,48,4,35,,,,,Each Creature controlled by an opponent gains a Mugic counter.,,,Imaginary Friends Studios
Hurlicane,SS,Rare,49,0,0,,10,,,Air: Your engaged Creature loses Air.,,,Imaginary Friends Studios
Hydro Balls,SS,Common,50,1,5,,,,,Stat Check Wisdom 50: Your engaged Creature gains Water.,,,Emilio Lopez
Liquescent Swirl,SS,Rare,51,0,0,,,,10,Water: Your engaged Creature loses Water.,,,Imaginary Friends Studios
Matagore,SS,Uncommon,52,1,0,5,,5,,"If your engaged Creature is Mipedian, it gains Air.",,,Imaginary Friends Studios
Mind Strike,SS,Common,53,2,0,,,,5,"Stat Check Wisdom 30: Deal 5 damage.
Stat Check Wisdom 50: Deal 5 damage.
Stat Check Wisdom 70: Deal 5 damage.",,,Imaginary Friends Studios
Progressive Speed,SS,Common,54,2,0,,5,,,"Stat Check Speed 30: Deal 5 damage.
Stat Check Speed 50: Deal 5 damage.
Stat Check Speed 70: Deal 5 damage.",,,Imaginary Friends Studios
Purifying Mud,SS,Super Rare,55,1,0,5,,5,0,"Earth, Water: Deal 5 damage, then gain 5 Energy.",,,"Emilio Lopez, Keith Conroy"
Reactive Resolution,SS,Rare,56,3,10,,,,,"Challenge Courage 15: Deal 5 damage.
Challenge Speed 15: Deal 5 damage.
If you win both challenges, deal 15 damage.",,,Imaginary Friends Studios
Reckless Defeat,SS,Uncommon,57,1,0,5,,,5,"If the opposing engaged Creature has Recklessness, deal damage equal to that Creature's Recklessness value.",,,Emilio Lopez
Reckless Reproach,SS,Rare,58,0,0,,,,,"If the opposing engaged Creature has Recklessness, deal damage equal to that Creature's Recklessness value.",,,Imaginary Friends Studios
Rot Cloud,SS,Rare,59,3,10,,,,,"If the opposing engaged Creature has Air, deal 5 damage. 
If the opposing engaged Creature has Earth, deal 5 damage.",,,Imaginary Friends Studios
Slashclaw,SS,Super Rare,60,5,5,,,,,"If your engaged Creature has Recklessness, deal damage equal to twice its Recklessness value.",,,Emilio Lopez
Stupefying Tide,SS,Uncommon,61,2,5,,,,5,Stat Fail Wisdom 50: Deal 10 damage.,,,Imaginary Friends Studios
Symmetry Slam,SS,Rare,62,0,0,,,,,Deal 5 damage for each Elemental Type shared by both engaged Creatures.,,,Imaginary Friends Studios
Trampling Tackle,SS,Uncommon,63,1,0,,,10,,"If your engaged Creature has Recklessness, deal 5 damage.",,,Imaginary Friends Studios
Twister of Elements,SS,Super Rare,64,1,0,,5,5,0,"Air, Water: Search your Attack Deck for up to three Attack Cards and put them in your Attack Discard pile, then shuffle your Attack Deck.",,,Imaginary Friends Studios
Web Cocoon,SS,Common,65,1,5,,,,,Stat Check Power 50: Your engaged Creature gains Fire.,,,Imaginary Friends Studios
Ash Torrent,MI,Uncommon,67,1,,5,,5,,Challenge Power 15: Deal 10 damage.,,,"Andrew Bradshaw, Etienne St.Laurent"
Burning Rain,MI,Super Rare,68,0,0,,,,5,"If Burning Rain would deal more than 10 damage, it deals 10 damage instead.",,,"Edwin Nebres, Andrew Bradshaw, David Curiel"
Confusion,MI,Common,69,1,0,5,5,,,Air: Gain 10 Power.,,,"Edwin Nebres, Andrew Bradshaw, David Curiel"
Daunting Bravery,MI,Uncommon,70,1,5,,,,,"Challenge Courage 15: Deal 10 damage.
Stat Check Courage 50: Opposing engaged Creature loses 15 Courage.",,,"Edwin Nebres, Andrew Bradshaw, David Curiel"
Deceleration,MI,Uncommon,71,2,0,,,,,"Stat Fail Speed 100: Deal 5 damage.
Stat Fail Speed 50: Deal 10 damage.
Stat Fail Speed 5: Deal 15 damage.",,,Imaginary Friends Studios
Delerium,MI,Common,72,0,0,,,,,Stat Check Wisdom 50: Deal 5 damage.,,,"Andrew Bradshaw, Etienne St.Laurent"
Deluge of Doom,MI,Common,73,2,0,,,10,10,Water: Opposing engaged Creature loses 25 Courage.,,,Imaginary Friends Studios
Disempowerment Combo,MI,Super Rare,74,4,5,,,,5,"Stat Fail Courage 30: Deal 10 damage.
Stat Fail Power 30: Deal 10 damage.
Stat Fail Wisdom 30: Deal 10 damage.
Stat Fail Speed 30: Deal 10 damage.",,,HotShots VFX
Dry Liquid,MI,Uncommon,75,1,5,,,,,"Challenge Power 15: Deal 10 damage.
Stat Check Power 50: Opposing engaged Creature loses 15 Power.",,,Imaginary Friends Studios
Electro-Web,MI,Uncommon,76,2,5,,,,0,"Challenge Power 30: Deal 10 damage. If you lose this Challenge, gain 15 Power.
Challenge Speed 30: Deal 10 damage. If you lose this Challenge, gain 15 Speed.",,,HotShots VFX
Ember Swarm,MI,Uncommon,77,1,5,5,,,,Fire: Opposing engaged Creature loses 25 Wisdom.,This should make you glow with joy.,,"Etienne St.Laurent, Edwin Nebres"
Fear Projection,MI,Common,78,0,0,,,,,Opposing engaged Creature loses 20 Courage.,,,Imaginary Friends Studios
Flaming Coals,MI,Rare,79,3,10,10,,,10,Flaming Coals may not be the target of Mugic or abilities.,,,HotShots VFX
Flashwarp,MI,Common,80,0,0,,,,,Challenge Power 15: Deal 10 damage.,,,Emilio Lopez
Ghost Gouge,MI,Uncommon,81,1,0,,,,5,"Stat Check Wisdom 50: Deal 5 damage.
Stat Check Speed 50: Deal 5 damage.",,,HotShots VFX
Gravity Slam,MI,Uncommon,82,2,0,,,,,"Stat Fail Power 100: Deal 5 damage.
Stat Fail Power 50: Deal 10 damage.
Stat Fail Power 5: Deal 15 damage.",,,Imaginary Friends Studios
Hammer Dash,MI,Uncommon,83,1,0,,5,,,"Stat Check Courage 50: Deal 5 damage.
Stat Check Power 50: Deal 5 damage.",,,HotShots VFX
Hampering Winds,MI,Uncommon,84,2,5,,5,,,Stat Fail Speed 50: Deal 10 damage.,,,Imaginary Friends Studios
Heat Rage,MI,Common,85,1,0,5,,,5,Fire: Gain 10 Wisdom.,,,HotShots VFX
Ice Disks,MI,Rare,86,3,10,,,10,10,Your opponent may not play activated abilities.,,,HotShots VFX
Ice Sheet,MI,Super Rare,87,3,0,,,,5,Water: Deal an additional 5 damage for each Mugic counter on your engaged Creature.,,,Imaginary Friends Studios
Lightning Burst,MI,Uncommon,88,1,5,,5,,,Air: Opposing engaged Creature loses 25 Power.,,,"David Rodriguez, Edwin Nebres, Etienne St.Laurent"
Mind Grind,MI,Uncommon,89,2,0,,,,,"Stat Fail Wisdom 100: Deal 5 damage.
Stat Fail Wisdom 50: Deal 10 damage.
Stat Fail Wisdom 5: Deal 15 damage.",,,Imaginary Friends Studios
Mindful Finish,MI,Super Rare,90,0,0,,,,,"Stat Fail Courage, Power, Wisdom and Speed 20: Deal 25 damage.",,1,HotShots VFX
Mindsink,MI,Common,91,0,0,,,,,Opposing engaged Creature loses 20 Wisdom.,,,Imaginary Friends Studios
Minor Roar,MI,Super Rare,92,4,5,5,5,5,5,Deal an additional 5 damage for each Mugic counter on your engaged Creature.,,,Imaginary Friends Studios
Neuro Freeze,MI,Super Rare,93,2,10,,,,10,"If the opposing engaged Creature has Water, the damage dealt by Neuro Freeze is reduced by 10.",,,Imaginary Friends Studios
Outsmart,MI,Rare,94,0,0,,,,,"If your Creature's Wisdom is more than opposing engaged Creature's Speed, deal 5 damage. If it isn't, opposing engaged Creature loses 10 Wisdom.",,,HotShots VFX
Outwit,MI,Uncommon,95,1,0,5,,,,"Stat Check Power 50: Deal 5 damage.
Stat Check Wisdom 50: Deal 5 damage.",,,HotShots VFX
Perplexing Heat,MI,Common,96,2,0,10,,,10,Fire: Opposing engaged Creature loses 25 Wisdom.,,,Imaginary Friends Studios
Piercing Brilliance,MI,Uncommon,97,1,5,,,,,"Challenge Wisdom 15: Deal 10 damage.
Stat Check Wisdom 50: Opposing engaged Creature loses 15 Wisdom.",,,Imaginary Friends Studios
Plasmarrow,MI,Rare,98,3,10,10,10,,,Opposing engaged Creature may not be healed.,,,HotShots VFX
Poison Panic,MI,Super Rare,99,1,0,,,,10,"If an Attack Card named Poison Panic is in your Attack Discard pile, reduce Poison Panic's damage by 5.",,,Imaginary Friends Studios
Poison Sphere,MI,Uncommon,100,1,5,,,,,"Challenge Speed 15: Deal 10 damage.
Stat Check Speed 50: Opposing engaged Creature loses 15 Speed.",,,Imaginary Friends Studios
Power Punch,MI,Rare,101,0,0,,,,,"If your Creature's Power is more than opposing engaged Creature's Wisdom, deal 5 damage. If it isn't, opposing engaged Creature loses 10 Power.",,,HotShots VFX
Primal Smash,MI,Ultra Rare,102,1,20,,,,,,,1,XXXXX
Psi-mageddon,MI,Super Rare,103,5,10,,,,,Deal 20 damage for each Minion Creature Card in your general discard pile.,,1,Imaginary Friends Studios
Psychodrain,MI,Common,104,0,0,,,,,Opposing engaged Creature loses 20 Power.,,,Imaginary Friends Studios
Quick Exit,MI,Common,105,0,0,,,,,Challenge Wisdom 15: Deal 10 damage.,,,"Andrew Bradshaw, David Curiel"
Radical Ice Balls,MI,Common,106,1,0,,5,5,,Earth: Gain 10 Speed.,,,Imaginary Friends Studios
Rip Tide,MI,Uncommon,107,1,5,,,,5,Water: Opposing engaged Creature loses 25 Courage.,Watch out for the undertow!,,"Edwin Nebres, Andrew Bradshaw, David Curiel"
Screeching Scare,MI,Rare,108,0,0,,,,,"If your Creature's Courage is more than opposing engaged Creature's Power, deal 5 damage. If it isn't, opposing engaged Creature loses 10 Courage.",,,HotShots VFX
Shadow Strike,MI,Common,109,0,0,,,,,Challenge Courage 15: Deal 10 damage.,,,"Andrew Bradshaw, David Curiel"
Shriek Shock,MI,Common,110,0,0,,,,,Stat Check Speed 50: Deal 5 damage.,,,"David Rodriguez, Edwin Nebres, Etienne St.Laurent"
Sink Scream,MI,Ultra Rare,111,5,0,,,,,"Fire: Reduce opposing engaged Creature's Power to 0.
Air: Reduce opposing engaged Creature's Speed to 0.
Earth: Reduce opposing engaged Creature's Courage to 0.
Water: Reduce opposing engaged Creature's Wisdom to 0.",,,HotShots VFX
Slowsand,MI,Common,112,2,0,,10,10,,Earth: Opposing engaged Creature loses 25 Speed.,,,Imaginary Friends Studios
Snare Attack,MI,Rare,113,0,0,,,,,"If your Creature's Speed is more than opposing engaged Creature's Courage, deal 5 damage. If it isn't, opposing engaged Creature loses 10 Speed.",,,HotShots VFX
Spirit Gust,MI,Common,114,0,0,,,,,Stat Check Courage 50: Deal 5 damage.,,,"Andrew Bradshaw, Edwin Nebres, David Curiel"
Streak Strike,MI,Uncommon,115,1,0,,,5,,"Stat Check Speed 50: Deal 5 damage.
Stat Check Courage 50: Deal 5 damage.",,,HotShots VFX
Stupefying Tide,MI,Uncommon,116,2,5,,,,5,Stat Fail Wisdom 50: Deal 10 damage.,,,Imaginary Friends Studios
Terror-fying Tackle,MI,Uncommon,117,2,0,,,,,"Stat Fail Courage 100: Deal 5 damage.
Stat Fail Courage 50: Deal 10 damage.
Stat Fail Courage 5: Deal 15 damage.",,,Imaginary Friends Studios
Timeslow,MI,Common,118,0,0,,,,,Opposing engaged Creature loses 20 Speed.,,,Imaginary Friends Studios
Torrent of Flame,MI,Common,119,2,0,10,,,10,,,,Emilio Lopez
Torrent of Water,MI,Common,120,1,0,,,5,5,Water: Gain 10 Courage.,,,HotShots VFX
Velocitrap,MI,Common,121,0,0,,,,,Challenge Speed 15: Deal 10 damage.,,,"David Curiel, Francis Barrios"
Vine Snare,MI,Uncommon,122,1,5,,,5,,Earth: Opposing engaged Creature loses 25 Speed.,,,"Edwin Nebres, Etienne St.Laurent"
Web Cocoon,MI,Common,123,1,5,,,,,Stat Check Power 50: Your engaged Creature gains Fire.,,,Imaginary Friends Studios
Whirling Wail,MI,Rare,124,3,10,,10,10,,Your opponent may not play Mugic Cards.,,,HotShots VFX
Whirlwind Scythes,MI,Common,125,2,0,10,10,,,Air: Opposing engaged Creature loses 25 Power.,,,Imaginary Friends Studios
Aftermath Feint,ROTO,Rare,47,0,0,,,,,"If your engaged Creature is defeated this turn, draw two Attack Cards and discard two Attack Cards.",,,HotShots VFX
Caustic Cascade,ROTO,Uncommon,48,2,0,,,,20,,,,HotShots VFX
Electric Rain,ROTO,Super Rare,49,2,0,,,,5,The opposing engaged Creature must pay an additional Mugic counter to play abilities which cost one or more Mugic counters.,,,HotShots VFX
Fire Stream,ROTO,Common,50,0,0,5,,,,"If the opposing engaged Creature is equipped, damage dealt by Fire Stream is reduced to 0.",,,HotShots VFX
Fluidmight,ROTO,Common,51,3,5,,,,10,"When a Fluidmorpher deals damage with Fluidmight, it gains a Mugic counter.",,,HotShots VFX
Force Balls,ROTO,Uncommon,52,1,5,5,,,5,"If you control non‐OverWorld Creatures, damage dealt by Force Balls is reduced to 0.",,,Imaginary Friends Studios
Invader's Tactics,ROTO,Rare,53,1,10,,,,0,"If your opponent controls the active Location, deal an additional 5 damage.",,,Imaginary Friends Studios
Kha'rall Crush,ROTO,Common,54,1,5,,,,5,"If your engaged Creature is equipped with a Shard, deal an additional 10 damage.",,,HotShots VFX
Marksman's Preparation,ROTO,Uncommon,55,1,0,,0,,,"The opposing engaged Creature cannot gain Mugic counters.
You may discard another card named Marksman's Preparation. If you do, deal an additional 30 damage and draw an Attack Card.",,,Imaginary Friends Studios
Mightswing,ROTO,Uncommon,56,1,5,5,5,,,"If you control non‐UnderWorld Creatures, damage dealt by Mightswing is reduced to 0.",,,HotShots VFX
Petrifying Power,ROTO,Common,57,0,0,,,5,,"If your opponent controls the active Location, damage dealt by Petrifying Power is reduced to 0.",,,Imaginary Friends Studios
Poison Steam,ROTO,Common,58,0,0,,5,,,"If you have fewer Mugic Cards in your hand than your opponent, damage dealt by Poison Steam is reduced to 0.",,,HotShots VFX
Rage of Aa'une,ROTO,Rare,59,1,5,,,,5,"If your engaged Creature is a Chieftain, deal an additional 10 damage.",,,Imaginary Friends Studios
Rancorous Projection,ROTO,Super Rare,60,2,40,,,,,"For each Discipline over 50 the opposing engaged Creature has, damage dealt by Rancorous Projection is reduced by 10.",,,Imaginary Friends Studios
Sandstrike,ROTO,Uncommon,61,1,5,,5,5,,"If you control non‐Mipedian Creatures, damage dealt by Sandstrike is reduced to 0.",,,HotShots VFX
Solar Flare,ROTO,Rare,62,3,5,,,,10,"Remove X Mugic counters from the opposing engaged Creature, where X is the number of Mugic counters on your engaged Creature.",,,HotShots VFX
Supercooled Rain,ROTO,Super Rare,63,5,15,,,,25,Your opponent removes a total of 4 Mugic counters from among any Creatures they control.,,,HotShots VFX
Swarming Destruction,ROTO,Uncommon,64,1,5,,,5,5,"If you control non‐Danian Creatures, damage dealt by Swarming Destruction is reduced to 0.",,,Imaginary Friends Studios
Tainted Thunderstorm,ROTO,Rare,65,4,10,,,,20,Challenge Mugic counters 1: Deal 20 damage,,,HotShots VFX
Tidal Surge,ROTO,Common,66,0,0,,,,5,"If the opposing engaged Creature has any Mugic counters, damage dealt by Tidal Surge is reduced to 0.",,,Imaginary Friends Studios
Academy Strike,TOTT,Rare,36,1,0,,,,,Stat Check Speed 100: Deal 15 damage.,,,HotShots VFX
